id;room_number;name;created_by;created_date;last_modified_by;last_modified_date;facility_id
1;Tasty Plastic Car;parsing Mozambique Dynamic;Manager;2020-06-29T11:21:59;Generic Fresh Chips deposit CFP Franc;2020-06-29T11:04:39;1
2;Point synthesizing;Home Loan Account CFA Franc BCEAO;Handcrafted Cotton Soap;2020-06-29T16:29:26;copy;2020-06-28T20:01:09;2
3;task-force internet solution SQL;Chief;array;2020-06-29T00:48:26;Engineer indexing Dynamic;2020-06-29T03:41:55;3
4;Manager;deposit engage;Buckinghamshire Bosnia and Herzegovina;2020-06-29T18:07:39;deposit Algerian Dinar;2020-06-29T16:10:13;4
5;Handcrafted Plastic Ball Camp Legacy;pink Stravenue support;District Dynamic;2020-06-29T14:38:55;incentivize;2020-06-29T07:20:48;5
6;firewall;Oman Rustic;invoice Avon Saint Lucia;2020-06-29T03:43:39;Maine;2020-06-28T23:14:23;6
7;B2B;Intelligent systematic;virtual Handcrafted;2020-06-29T05:40:02;multi-byte Aruba;2020-06-29T16:02:22;7
8;reboot;West Virginia value-added;Plastic bandwidth;2020-06-29T02:47:06;Steel implement;2020-06-28T21:18:12;8
9;Horizontal;connect calculating back up;Incredible;2020-06-29T02:42:00;discrete Investment Account;2020-06-29T09:39:18;9
10;reintermediate digital;demand-driven leading edge;fault-tolerant;2020-06-29T02:28:32;Refined Liaison invoice;2020-06-28T20:17:29;10
