id;name;created_by;created_date;last_modified_by;last_modified_date;facility_admin_id
1;Cambridgeshire;California Tasty Plastic Cheese Rubber;2020-06-29T11:30:53;North Korean Won content zero administration;2020-06-29T11:58:59;1
2;homogeneous;Serbian Dinar;2020-06-29T10:21:56;Gorgeous Gorgeous;2020-06-28T19:29:22;3
3;transmitting overriding;clear-thinking bypassing;2020-06-28T19:20:30;best-of-breed protocol;2020-06-29T14:43:46;1
4;Benin;web-enabled Metal white;2020-06-29T12:49:51;value-added;2020-06-29T12:46:32;1
5;Cambridgeshire Awesome USB;circuit;2020-06-29T14:10:09;Future Ergonomic Granite Computer Bermudian Dollar (customarily known as Bermuda Dollar);2020-06-29T10:05:08;1
6;Practical;Cambridgeshire;2020-06-29T08:58:54;Checking Account Fully-configurable Music;2020-06-28T22:33:58;3
7;auxiliary;Small Garden Investor;2020-06-29T03:09:39;customer loyalty Future payment;2020-06-29T15:30:29;1
8;Future Direct Rustic;sticky quantifying;2020-06-28T20:08:34;repurpose FTP;2020-06-29T09:53:38;3
9;calculating XSS;Plastic Chicken open-source;2020-06-29T17:38:10;Gorgeous;2020-06-29T14:40:55;1
10;Rubber;Dynamic;2020-06-29T14:10:31;Crossing Refined deposit;2020-06-29T00:29:57;1
